npcname_JP.	癒し手
npcname_EN.	healer
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	7
numflavor_deathEN.	7
flavordeath_JP.0	「私は善良な市民だったのに」
flavordeath_JP.1	「くそめ」
flavordeath_JP.2	「まいった」
flavordeath_JP.3	「ぐえ」
flavordeath_JP.4	「嘘でしょ」
flavordeath_JP.5	「なぜなんだー」
flavordeath_JP.6	「何の冗談ですか」
flavordeath_EN.0	"I was a good citizen."
flavordeath_EN.1	"Go to hell!"
flavordeath_EN.2	"I give up."
flavordeath_EN.3	"Nooooo..."
flavordeath_EN.4	"Is it a joke?"
flavordeath_EN.5	"Why me."
flavordeath_EN.6	"W-What have you done!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「お怪我はありませんか？」
flavorwelcome_JP.1	「無事な姿で何よりです。おかえりなさい」
flavorwelcome_EN.0	"Are you wounded?"
flavorwelcome_EN.1	"Good to see you again. Welcome home."
