npcname_JP.	復讐の悪魔『インクツァル』
npcname_EN.	<Inqtual> the revenge
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「憎いか？ワタシが憎いか？」
flavorangered_JP.1	「復讐に駆られる愚かな定命たちよ…」
flavorangered_JP.2	「見えるぞ、お前の心が」
flavorangered_JP.3	「もっと力を取り戻さなければ…」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「そんな…まだ、あの男の復讐心を…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「もし蘇ったら、ワタシに復讐しにくるがいい！」
flavorkill_JP.1	「大人しくワタシの誘いに乗っていれば良かったものを」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
