npcname_JP.	伝説の餓狼
npcname_EN.	legendary wolf
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「てめぇ… なめとんのか？」
flavorangered_JP.1	「おもいあがるんじゃねーっ！！」
flavorangered_JP.2	「おれはもう倒れねえってんだよ！」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「ごが！ごががあっ！！」
flavordeath_JP.1	「う… ぎゃああーっ！！」
flavordeath_JP.2	「うっぎゃああっ！」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「ぜったいだれにも負けねぇから！！」
flavorkill_JP.1	「なんとも…おそまつなやろうだぜーっ」
flavorkill_JP.2	「時を止めた者が前に歩を進める者に勝てるわけがない！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
