npcname_JP.	疫病の悪魔『ロアトニス』
npcname_EN.	<Roatonis> the infections
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「苦しめ…もっと苦しめ…」
flavorangered_JP.1	「病で弱った者を見ると興奮するのだ」
flavorangered_JP.2	「この溢れる瘴気…実に愉快だ」
flavorangered_JP.3	「動死体など壁に過ぎん」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「駄目だ、細菌に分ける力がもうない…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「致死性を上げすぎた、これでは楽しめない」
flavorkill_JP.1	「もう死んでしまったのか？」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
