npcname_JP.	束縛の悪魔『エゲルベイル』
npcname_EN.	<Egelveil> the bind
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「ずっと一緒にいよう…」
flavorangered_JP.1	「神々から掛けられた枷がゆるすぎて困る」
flavorangered_JP.2	「身動きが取れないなんて、最高の気分だろう？」
flavorangered_JP.3	「なぜ束縛を拒絶するのだ…」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「嫌だぁ！私の魂をどこかに縛りつけてくれぇ！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「死は肉体からの解放…惜しいな」
flavorkill_JP.1	「間違って殺してしまったよ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
