npcname_JP.	パルミア王妃『スターシャ』
npcname_EN.	<Stersha> the queen of Palmia
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	荘厳な感じが漂っている。
flavorpassive_JP.1	辺りは厳重に警備されている。
flavorpassive_JP.2	宮廷から華麗な音楽の響きが聞こえる。
flavorpassive_EN.0	The quiet majesty of the room makes you feel small and grubby.
flavorpassive_EN.1	You note just how alert and well armed the guards are.
flavorpassive_EN.2	Somewhere, a harpsicord is playing a tune befitting nobility.
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「おやめなさい！」
flavorangered_JP.1	「皆の者、この曲者をどうにかするのです」
flavorangered_EN.0	"Stop this at once!"
flavorangered_EN.1	"Guards, arrest this ruffian."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「無念じゃ…」
flavordeath_EN.0	"I am sorry..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「さあ、この見苦しい死体を片付けるのです」
flavorkill_EN.0	"Hurry and clear out this disgusting corpse."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
