npcname_JP.	白き鷹『ヴェセル』
npcname_EN.	<Bethel> the white hawk
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「希望はまだ失われてはいない」
flavorpassive_JP.1	「エリシェ…見守っていてくれ…」
flavorpassive_EN.0	"Hope isn't lost yet."
flavorpassive_EN.1	"Elishe... Please watch over me..."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「あの日から止まった時間を…」
flavorangered_JP.1	「やってみせるさ」
flavorangered_JP.2	「まだ多少ふらつくが…」
flavorangered_EN.0	"My time stopped on that day..."
flavorangered_EN.1	"Do your best."
flavorangered_EN.2	"Still I struggle to find purpose..."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「希望はまだあるはずだ…！」
flavordeath_EN.0	"There is still hope...!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「虚空へ散るがいい」
flavorkill_EN.0	"Embrace your death."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
