npcname_JP.	腕白少女『アリベル』
npcname_EN.	<Aribel> the white arms
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「アリベル七箇条、その一。周囲の警戒は怠らない」
flavorpassive_JP.1	「お母さん、研究にのめり込みすぎてないかな…」
flavorpassive_JP.2	「アリスみたいに根性のある蟲、どっかにいないかな」
flavorpassive_JP.3	「お父さんに負けないくらい強くなりたい」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「アリベル七箇条、その三！拳には迷いを乗せない！乗せるのは魂だ！」
flavorangered_JP.1	「ボディががら空きだよ？」
flavorangered_JP.2	「アリベル七箇条、その二！自分の力を過信しない！」
flavorangered_JP.3	「きなよ！正々堂々、かかってこい！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「くっ…アリベル七箇条、その四！倒れる時は…前のめり…で…！」
flavordeath_JP.1	「へへ…やるじゃない。これだから喧嘩はやめられないよ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「アリベル七箇条、その五！トドメはやりすぎに思えるくらいが丁度いい」
flavorkill_JP.1	「アリベル七箇条、その六！どんな相手だろうと健闘は称える！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
