npcname_JP.	見習い天使
npcname_EN.	apprentice angel
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「自分なりにがんばります」
flavorpassive_JP.1	「言葉に出さなくても通じ合う…そんなの、嘘ですよね」
flavorpassive_JP.2	「私の代わりなんてたくさんいる…そう思いませんか？」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「勝たなきゃ、勝たなきゃ意味がない…」
flavorangered_JP.1	「これ以上は無意味、降伏を要求します」
flavorangered_JP.2	「典型的なアレですね、敵ではありません」
flavorangered_JP.3	「結局、戦うしかないようですね…行きます」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「こっ、こんな所で…！」
flavordeath_JP.1	「役立たずですいません…」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「完璧な勝利です…いかがでしたか？」
flavorkill_JP.1	「勝利しました、評価をお願いします」
flavorkill_JP.2	「明日は我が身…その悲鳴、忘れない」
numflavor_welcomeJP.	2
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「また会えて嬉しいです」
flavorwelcome_JP.1	「んん……申し訳ありません、今起きます」
