npcname_JP.	宇宙剣客『ベルファート』
npcname_EN.	<Belphat> the cosmic sword
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「よっしゃ暴れるか」
flavorangered_JP.1	「負けないからな！」
flavorangered_JP.2	「腹ごなしの運動にはちょうどいい」
flavorangered_JP.3	「剣客商売なめんなよ」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「うわっ、なんじゃこれ！？」
flavordeath_JP.1	「あびゃあー」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「斬り捨てスマンスマン」
flavorkill_JP.1	「やっぱうちの家宝より使いづらいな」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
