npcname_JP.	エンタメイド・ウィッチビッチ
npcname_EN.	performaid bitchiack
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	2
numflavor_angeredEN.	0
flavorangered_JP.0	「紳士淑女の皆さま方も！そうでない方々も！」
flavorangered_JP.1	「さぁ、私の眼をよく見てくださいね…？」
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「もうイってしまったんですか？」
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「おかえりなさいませ、%syujin%…」
flavorwelcome_JP.1	「今宵も楽しんでいってください…」
flavorwelcome_EN.0	"Welcome back, %syujin%..."
flavorwelcome_EN.1	"Please enjoy yourselves tonight..."
