npcname_JP.	蒼天の稲妻『ランカータ』
npcname_EN.	<Lankata> the lightning of blue
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「迸れ！稲妻の如く！」
flavorangered_JP.1	「私も勇ましく戦ってみせる」
flavorangered_JP.2	「負けられない…」
flavorangered_EN.0	"Surge! Like lightning!"
flavorangered_EN.1	"I shall fight courageously as well."
flavorangered_EN.2	"I won't be defeated..."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「父上、申し訳ありません…」
flavordeath_EN.0	"I'm sorry, Father..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「私もやればできるんだ」
flavorkill_JP.1	「理想のために…」
flavorkill_EN.0	"I can do it if I try."
flavorkill_EN.1	"This is for our ideals..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
