npcname_JP.	ユナイデッド・クイーン
npcname_EN.	unitdead-queen
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「ミャア」
flavorpassive_JP.1	「にゃ」
flavorpassive_JP.2	「ミャ」
flavorpassive_JP.3	「にゅぅ」
flavorpassive_JP.4	「ニャア」
flavorpassive_EN.0	"Meow"
flavorpassive_EN.1	"Mew"
flavorpassive_EN.2	"Mew mew"
flavorpassive_EN.3	"Mew!"
flavorpassive_EN.4	"Mewl"
numflavor_angeredJP.	1
numflavor_angeredEN.	0
flavorangered_JP.0	「ぐしゃああああああ」
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ニャァー…ァ」
flavordeath_EN.0	"Me..meow..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	 *ふしゅぅ* 
flavorkill_EN.0	 *fwhoosh* 
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おかえりニャン！」
flavorwelcome_EN.0	Welcome homeow!
