npcname_JP.	過激派の『ハリオン』
npcname_EN.	<Halion> the extremist
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「散っていった同志たちよ、俺に勇気をわけてくれ」
flavorpassive_JP.1	「俺には人を見る目がないんだろうか…」
flavorpassive_JP.2	「こんな不条理、許されてたまるものか！」
flavorpassive_JP.3	「サイモアもヴァリウスも絶対に許さないぞ」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「戦わずに大切なものが守れるかよ！」
flavorangered_JP.1	「死んでも理不尽な暴力には屈しないぞ！」
flavorangered_JP.2	「俺は戦う…戦い抜いてやる！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「う、うわああああああ！？」
flavordeath_JP.1	「父さん…？そこに、いるの…？」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「俺は俺の正義に従うのみ！」
flavorkill_JP.1	「見ているか同志よ？我々の勝利だ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
