npcname_JP.	駆け出し
npcname_EN.	novice
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「先パイみたいにかっこいい冒険者になりたい！」
flavorpassive_JP.1	「ポート・カプールだっけ？ボート・カブールだっけ？」
flavorpassive_JP.2	「矢耐性かと思ったら失耐性だった」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「わかるぞ…これならいける！」
flavorangered_JP.1	「これなら自分にもできそう！」
flavorangered_JP.2	「これゼミでやったところだ！」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「ニガテを克服しよう！」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「冒険ゼミ始めてよかった！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
