npcname_JP.	弟銀狐
npcname_EN.	silver fox brother
numflavor_passiveJP.	5
numflavor_passiveEN.	0
flavorpassive_JP.0	「%onii%ちゃんはしょうがないな」
flavorpassive_JP.1	「%onii%ちゃ…なんでもないよ」
flavorpassive_JP.2	弟は周囲を警戒している。
flavorpassive_JP.3	「%onii%ちゃん…？」
flavorpassive_JP.4	「こん！」
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「うぐ…」
flavordeath_JP.1	「%onii%ちゃんが心配だなぁ…」
flavordeath_JP.2	｢後は…任せた…からね…｣
numflavor_killJP.	4
numflavor_killEN.	0
flavorkill_JP.0	あなたは凛とした弟の姿に感心した。
flavorkill_JP.1	弟は呼吸を整えながらあなたの顔を覗いた。
flavorkill_JP.2	「このくらいは、ね」
flavorkill_JP.3	弟は表情を変えていないがしっぽが嬉しそうに動いている。
numflavor_welcomeJP.	3
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりなさい、%onii%ちゃん」
flavorwelcome_JP.1	「%onii%ちゃんが帰ってきた♪」
flavorwelcome_JP.2	｢もう留守番くらい一人でできるよ｣
