npcname_JP.	《混沌のエンテュメイシス》
npcname_EN.	<Enthumesis>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	5
numflavor_angeredEN.	0
flavorangered_JP.0	「頭がくらくらする…くらくらするんだ」
flavorangered_JP.1	「手がかりをちょうだい…」
flavorangered_JP.2	「お父さんを探さなきゃ…」
flavorangered_JP.3	「もっと、もっと知らなきゃ」
flavorangered_JP.4	「辿り着くんだ…どんな手を使っても」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「おとう…さん…」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「違う…これも違う」
flavorkill_JP.1	「超越するための力を…」
flavorkill_JP.2	「色々なものが私の中に入ってくる…」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「お帰りなさい♪」
