npcname_JP.	ラストダンサー
npcname_EN.	last dancer
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「天使は君のすぐそばに」
flavorpassive_JP.1	「永遠より長い夏を見てた」
flavorpassive_JP.2	「愛に身を委ね眠りなさい」
flavorpassive_JP.3	「ありがとう、眠りなさい」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「悪夢と言う名の鎖が奴をここに繋ぎ止めているの？」
flavorangered_JP.1	「Last Danceが最後の行程に入った」
flavorangered_JP.2	「漂う光の粒は私の心の影を和らげる」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「これは人類が生み出した悪夢。覚めることのない悪夢」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「完全な根絶は不可能なの？」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
