npcname_JP.	琥珀眼の悪魔『バイシルフ』
npcname_EN.	<Bysymlha> the amber eyes
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「海鳥は好きです。やさしく迎えてくれたから」
flavorpassive_JP.1	「あなたも悪魔の巣へ進入してみます？」
flavorpassive_JP.2	「昼間でも、この瞳には夕暮れのように見えるのです」
numflavor_angeredJP.	2
numflavor_angeredEN.	0
flavorangered_JP.0	「激しさなんて閉じてしまえばいいのです」
flavorangered_JP.1	「あなたも笑うのですか？天使だった私のことを」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「BYE×2」
flavordeath_JP.1	「忘れないで…天使がいた物語を」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「生きることさえも戦いなのです」
flavorkill_JP.1	「天使がいた物語は続いていくのです」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
