npcname_JP.	Ｓ少年
npcname_EN.	S boy
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「騒々しいのは嫌いだな」
flavorpassive_JP.1	「あまり失望させないでおくれよ」
flavorpassive_JP.2	「どうしたんだい、%onii%さん？」
flavorpassive_JP.3	「ゾクゾクするねぇ！」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「まったく…そんなに僕を悦ばせたいのかい」
flavorangered_JP.1	「軽蔑するよ」
flavorangered_JP.2	「ふふっ、面白いじゃないか」
flavorangered_JP.3	「%onii%さんには感謝しないといけないね？」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	少年は悔しそうな表情を浮かべながら倒れた。
flavordeath_JP.1	「こんなこと…あってたまるか」
flavordeath_JP.2	死にゆく瞬間も少年は敵を鋭く睨みつけていた。
numflavor_killJP.	4
numflavor_killEN.	0
flavorkill_JP.0	少年は恍惚の表情を浮かべている。
flavorkill_JP.1	少年は倒れた敵を冷たく見おろしている。
flavorkill_JP.2	「なに？%onii%さんも味わいたいの？」
flavorkill_JP.3	「スペシャルコースは堪能できたかい？」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「置いていくなんて、いい度胸だよね」
