npcname_JP.	執事
npcname_EN.	butler
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「なんと」
flavordeath_JP.1	「ダメです！」
flavordeath_EN.0	"How?"
flavordeath_EN.1	"Don't do it!"
numflavor_killJP.	4
numflavor_killEN.	4
flavorkill_JP.0	執事はあなたの服のほこりを丁重にはらった。
flavorkill_JP.1	執事はあなたを見て軽く微笑んだ。
flavorkill_JP.2	あなたは執事に見とれた。
flavorkill_JP.3	「片付きました」
flavorkill_EN.0	The butler graciously clears the dirt off your clothes.
flavorkill_EN.1	The butler smiles at you lightly.
flavorkill_EN.2	You look admiringly at the butler.
flavorkill_EN.3	"I cleaned it all up."
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おかえりなさいませ」
flavorwelcome_EN.0	"Welcome back home."
