npcname_JP.	老執事
npcname_EN.	old butler
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ふむ、やりますね」
flavordeath_JP.1	「お逃げください」
flavordeath_EN.0	"Hmm, you got me."
flavordeath_EN.1	"Please, escape!"
numflavor_killJP.	4
numflavor_killEN.	4
flavorkill_JP.0	執事は服を丁寧に整えた。
flavorkill_JP.1	執事はあなたの視線に気づいて苦笑した。
flavorkill_JP.2	あなたは執事に見とれた。
flavorkill_JP.3	「こんなものでしょうか」
flavorkill_EN.0	The butler meticulously tidies his clothes.
flavorkill_EN.1	The butler noticed a bitter smile in your eyes.
flavorkill_EN.2	You look admiringly at the butler.
flavorkill_EN.3	"Is this how it is done?"
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「おかえりなさいませ」
flavorwelcome_EN.0	"Welcome back home."
